fileNumber,reportDate,crimeType,neighborhoodName,location,latitude,longitude
2018-00001,2018-01-01T03:21:00Z,Accident,MIT,"MASSACHUSETTS AVE & MEMORIAL DR, Cambridge, MA",44.663074,-63.611624
2018-00005,2018-01-01T12:03:00Z,Shoplifting,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-00040,2018-01-03T12:35:00Z,Noise Complaint,Mid-Cambridge,"ELLSWORTH AVE & GREENOUGH AVE, Cambridge, MA",43.681312,-79.423
2018-00050,2018-01-04T11:41:00Z,Hit and Run,Peabody,"0 BELLIS CIR, Cambridge, MA",42.389553,-71.133413
2018-00060,2018-01-05T07:59:00Z,Hit and Run,Inman/Harrington,"CARDINAL MEDEIROS AVE & HAMPSHIRE ST, Cambridge, MA",42.368927,-71.090261
2018-00006,2018-01-01T11:17:00Z,Accident,Cambridgeport,"CHESTNUT ST & PLEASANT ST, Cambridge, MA",45.596058,-67.328526
2018-00003,2018-01-01T10:11:00Z,Larceny from Person,Area 4,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-01010,2018-02-16T15:16:00Z,Larceny from Building,Peabody,"0 GARDEN ST, Cambridge, MA",42.375693,-71.120854
2018-01028,2018-02-17T17:39:00Z,Shoplifting,Riverside,"1300 MASSACHUSETTS AVE, Cambridge, MA",42.372783,-71.117498
2018-01034,2018-02-18T00:10:00Z,Simple Assault,East Cambridge,"300 CAMBRIDGE ST, Cambridge, MA",42.370962,-71.081008
2018-01062,2018-02-19T16:58:00Z,Counterfeiting,Riverside,"0 JFK ST, Cambridge, MA",42.373054,-71.119486
2018-01067,2018-02-19T20:55:00Z,Aggravated Assault,Riverside,"800 MASSACHUSETTS AVE, Cambridge, MA",42.366825,-71.106454
2018-01119,2018-02-22T09:11:00Z,Larceny from Person,Riverside,"0 JFK St, Cambridge, MA",42.373054,-71.119486
2018-01133,2018-02-22T19:05:00Z,Larceny from MV,Cambridgeport,"100 AUBURN ST, Cambridge, MA",42.362384,-71.10326
2018-01153,2018-02-23T14:15:00Z,Larceny from Person,Riverside,"0 CENTRAL SQ, Cambridge, MA",42.365029,-71.10456
2018-01159,2018-02-23T16:50:00Z,Hit and Run,Riverside,"0 PUTNAM AVE, Cambridge, MA",42.370491,-71.113211
2018-01193,2018-02-25T11:57:00Z,Larceny from Building,Riverside,"0 Mount Auburn St, Cambridge, MA",42.36997,-71.113612
2018-01207,2018-02-26T11:41:00Z,Larceny from MV,Cambridgeport,"700 MEMORIAL DR, Cambridge, MA",42.356813,-71.114147
2018-01222,2018-02-27T09:35:00Z,Larceny from Building,Riverside,"1300 MASSACHUSETTS AVE, Cambridge, MA",42.372783,-71.117498
2018-01249,2018-02-27T22:51:00Z,Simple Assault,Riverside,"1400 MASSACHUSETTS AVE, Cambridge, MA",42.373725,-71.119656
2018-01278,2018-02-28T19:30:00Z,Counterfeiting,Mid-Cambridge,"1600 CAMBRIDGE ST, Cambridge, MA",42.374491,-71.10839
2018-01286,2018-03-01T03:21:00Z,Accident,Mid-Cambridge,"1700 CAMBRIDGE ST, Cambridge, MA",42.374402,-71.111798
2018-01289,2018-03-01T08:24:00Z,Larceny from Building,Mid-Cambridge,"500 BROADWAY, Cambridge, MA",42.375312,-71.115703
2018-01295,2018-03-01T12:04:00Z,Stalking,Riverside,"400 GREEN ST, Cambridge, MA",42.365689,-71.10612
2018-01300,2018-03-01T16:25:00Z,Flim Flam,Riverside,"1300 MASSACHUSETTS AVE, Cambridge, MA",42.372783,-71.117498
2018-01312,2018-03-02T01:32:00Z,Mal. Dest. Property,East Cambridge,"200 CAMBRIDGE ST, Cambridge, MA",42.370726,-71.079156
2018-01315,2018-03-02T05:48:00Z,Accident,Mid-Cambridge,"500 BROADWAY, Cambridge, MA",42.375312,-71.115703
2018-01831,2018-03-25T20:00:00Z,Hit and Run,Cambridgeport,"200 ERIE ST, Cambridge, MA",42.360161,-71.108266
2018-01848,2018-03-26T14:26:00Z,Mal. Dest. Property,Riverside,"0 JFK ST, Cambridge, MA",42.373054,-71.119486
2018-01852,2018-03-26T16:35:00Z,Hit and Run,Cambridgeport,"300 PEARL ST, Cambridge, MA",42.357257,-71.110369
2018-01854,2018-03-26T18:31:00Z,Shoplifting,Riverside,"0 JFK ST, Cambridge, MA",42.373054,-71.119486
2018-01365,2018-03-04T20:39:00Z,Hit and Run,MIT,"600 MEMORIAL DR, Cambridge, MA",42.353949,-71.106619
2018-01367,2018-03-05T02:55:00Z,Housebreak,Cambridgeport,"0 FAIRMONT ST, Cambridge, MA",42.361073,-71.110194
2018-01369,2018-03-05T11:10:00Z,Simple Assault,Mid-Cambridge,"0 TEMPLE ST, Cambridge, MA",42.366219,-71.104109
2018-01009,2018-02-16T15:40:00Z,Threats,Area 4,"200 PROSPECT ST, Cambridge, MA",42.370228,-71.100136
2018-01011,2018-02-16T16:14:00Z,Harassment,North Cambridge,"100 CAMBRIDGEPARK DR, Cambridge, MA",42.394295,-71.144999
2018-01012,2018-02-16T17:18:00Z,Threats,Cambridgeport,"100 FAIRMONT ST, Cambridge, MA",42.362327,-71.112207
2018-01046,2018-02-18T13:53:00Z,Harassment,Strawberry Hill,"0 CUSHING ST, Cambridge, MA",42.375051,-71.151562
2018-01047,2018-02-18T14:54:00Z,Simple Assault,West Cambridge,"0 BRATTLE ST, Cambridge, MA",42.373206,-71.119651
2018-01052,2018-02-19T01:28:00Z,OUI,West Cambridge,"0 JFK ST, Cambridge, MA",42.373054,-71.119486
2018-01054,2018-02-19T08:25:00Z,Larceny from MV,North Cambridge,"0 MAGOUN ST, Cambridge, MA",42.399591,-71.135022
2018-01088,2018-02-20T19:58:00Z,Threats,Area 4,"0 SUFFOLK ST, Cambridge, MA",42.365966,-71.099377
2018-01091,2018-02-20T22:31:00Z,Threats,Cambridgeport,"100 FAIRMONT ST, Cambridge, MA",42.362327,-71.112207
2018-01136,2018-02-22T20:05:00Z,Larceny from Residence,Cambridgeport,"100 MAGAZINE ST, Cambridge, MA",42.360252,-71.109618
2018-01138,2018-02-22T17:34:00Z,Larceny from Residence,Area 4,"300 COLUMBIA ST, Cambridge, MA",42.370415,-71.095659
